iter	Logloss
0	0.6669387058
1	0.644360311
2	0.6244187262
3	0.6074320599
4	0.590343289
5	0.5781965491
6	0.565821533
7	0.5525674881
8	0.5432193936
9	0.5315060118
10	0.5235030619
11	0.5152932073
12	0.5082613067
13	0.5027270172
14	0.4972137879
15	0.4919266644
16	0.487545538
17	0.4844628426
18	0.4780723029
19	0.4732384702
20	0.4691316006
21	0.4665554953
22	0.462779307
23	0.4594850564
24	0.455287737
25	0.4530446071
26	0.4508346469
27	0.4476985851
28	0.4433581588
29	0.4409548826
30	0.4378032201
31	0.4355025136
32	0.4327795262
33	0.4305983008
34	0.4278531905
35	0.4246938934
36	0.423397326
37	0.4210054004
38	0.4183315149
39	0.4159391918
40	0.4138391571
41	0.4134323058
42	0.4115007448
43	0.4094146837
44	0.4072181966
45	0.4048671633
46	0.4031171143
47	0.4016357688
48	0.4005116404
49	0.3993777641
50	0.3986249205
51	0.3983448837
52	0.3966363079
53	0.3949266312
54	0.3941465812
55	0.3939940331
56	0.392071119
57	0.3906949426
58	0.3896090414
59	0.3889708249
60	0.38777258
61	0.3854494773
62	0.383988083
63	0.382481462
64	0.381071681
65	0.3794074787
66	0.3780110498
67	0.3758900297
68	0.3743280165
69	0.3738091052
70	0.3722456082
71	0.371710364
72	0.3705621645
73	0.369225533
74	0.3680832182
75	0.3671464553
76	0.3658171914
77	0.3650826968
78	0.3643197496
79	0.3631325771
80	0.3618504566
81	0.3605195323
82	0.3588320847
83	0.3575941563
84	0.3564175746
85	0.3560234788
86	0.3549620613
87	0.3545057381
88	0.3538269333
89	0.3529511777
90	0.3518036398
91	0.3506711402
92	0.3499925628
93	0.3490147417
94	0.3483853831
95	0.3476791856
96	0.3461649297
97	0.3447693384
98	0.3432614158
99	0.3418464946
100	0.3409493986
101	0.3404358593
102	0.3395851076
103	0.3387564158
104	0.3381570836
105	0.3374581255
106	0.3366968597
107	0.3356119368
108	0.3350603945
109	0.3341792143
110	0.3332576495
111	0.3324802862
112	0.3303938062
113	0.3293510633
114	0.3288947753
115	0.3283747262
116	0.3277015785
117	0.3271413711
118	0.326203248
119	0.325033522
120	0.3241408533
121	0.3235378805
122	0.3226677043
123	0.3220420838
124	0.3216064646
125	0.3206175415
126	0.3202640651
127	0.3198074582
128	0.3191884683
129	0.3188991488
130	0.3173212295
131	0.3157954268
132	0.3147838441
133	0.3140863656
134	0.3133264959
135	0.3122569108
136	0.3115054669
137	0.3108958524
138	0.310226176
139	0.309329975
140	0.3080912301
141	0.3070497396
142	0.3066260493
143	0.3065243896
144	0.3057952034
145	0.3050055712
146	0.3045166639
147	0.3042205507
148	0.3033633397
149	0.3023106476
150	0.3016886592
151	0.3009037004
152	0.3001212623
153	0.3001182555
154	0.2991379677
155	0.2981015372
156	0.2975838607
157	0.2965585471
158	0.2961035466
159	0.2950746466
160	0.2944653015
161	0.2938887845
162	0.2931664647
163	0.2924368971
164	0.2921425467
165	0.2915984666
166	0.2909475381
167	0.2902034929
168	0.2896042361
169	0.2892190348
170	0.2886513487
171	0.2881794292
172	0.2873713726
173	0.2869905121
174	0.2863839653
175	0.2855142375
176	0.2849706248
177	0.2844249228
178	0.2837691577
179	0.283037119
180	0.2822176741
181	0.2813046878
182	0.2809202516
183	0.280311303
184	0.2796839567
185	0.2791657301
186	0.2785069088
187	0.2780080012
188	0.2773944282
189	0.2768301856
190	0.276524696
191	0.275989032
192	0.2754885518
193	0.2747004744
194	0.2742550408
195	0.2736923011
196	0.273172705
197	0.2725083608
198	0.2717757904
199	0.270455105
200	0.2700932671
201	0.269556862
202	0.2689439301
203	0.2684302601
204	0.2680027825
205	0.2675444059
206	0.26721089
207	0.2666320821
208	0.2662828318
209	0.2659317347
210	0.2652283674
211	0.2646965185
212	0.2640898711
213	0.2633717975
214	0.2627199349
215	0.2622825296
216	0.2616394176
217	0.260653605
218	0.2602584685
219	0.2599058928
220	0.2593601425
221	0.2587539776
222	0.2580607587
223	0.2577031129
224	0.2573587909
225	0.2567795721
226	0.2562882808
227	0.2555749095
228	0.2552344987
229	0.2546281044
230	0.2541143154
231	0.2537339859
232	0.2531762009
233	0.2528875813
234	0.2524171423
235	0.2520199918
236	0.2516567484
237	0.2513400914
238	0.2509945102
239	0.2502005811
240	0.2496931175
241	0.2490322466
242	0.2487367086
243	0.2483752951
244	0.2476574301
245	0.2469963284
246	0.2464558983
247	0.2459734161
248	0.2451870826
249	0.2448682446
250	0.2445245435
251	0.2440830395
252	0.2436533724
253	0.2432206119
254	0.2425886779
255	0.2419549187
256	0.2415761043
257	0.2408809424
258	0.2400246807
259	0.2396991159
260	0.2391270492
261	0.238649647
262	0.2382676273
263	0.237510582
264	0.2365174782
265	0.2356259498
266	0.2353869465
267	0.2346606318
268	0.2339029144
269	0.2333311227
270	0.2320902109
271	0.2318167024
272	0.2310315486
273	0.2302722643
274	0.2293936424
275	0.2290950569
276	0.2284157953
277	0.2277695294
278	0.2270520392
279	0.2264864652
280	0.2261884214
281	0.2258474197
282	0.2255621227
283	0.2251464458
284	0.2247775816
285	0.2242398748
286	0.2236165344
287	0.2233458887
288	0.2230568082
289	0.2222641613
290	0.2220936166
291	0.2213971661
292	0.2211493277
293	0.2207171359
294	0.2204212365
295	0.2196724118
296	0.2187360485
297	0.2180184321
298	0.2178335748
299	0.2174223355
