iter	Passed	Remaining
0	3	1143
1	6	1041
2	10	1001
3	13	985
4	16	980
5	19	934
6	22	928
7	25	926
8	28	923
9	31	915
10	34	907
11	37	901
12	40	895
13	43	893
14	47	895
15	50	894
16	53	891
17	54	860
18	58	860
19	61	859
20	64	858
21	67	856
22	71	855
23	74	854
24	77	855
25	80	852
26	84	856
27	87	851
28	90	848
29	93	844
30	97	842
31	100	838
32	103	834
33	106	831
34	109	829
35	112	826
36	115	822
37	118	818
38	121	815
39	124	812
40	128	809
41	129	792
42	132	789
43	135	787
44	138	785
45	141	782
46	144	780
47	148	778
48	151	775
49	154	771
50	157	768
51	158	754
52	161	752
53	164	750
54	167	747
55	168	733
56	171	731
57	174	728
58	178	727
59	181	725
60	184	723
61	187	720
62	190	718
63	194	716
64	197	714
65	200	712
66	203	709
67	207	706
68	210	704
69	213	702
70	216	699
71	220	697
72	223	694
73	226	692
74	230	690
75	233	687
76	236	684
77	239	681
78	242	678
79	246	677
80	249	674
81	252	671
82	255	668
83	258	665
84	261	662
85	265	659
86	268	656
87	271	654
88	274	650
89	277	647
90	280	644
91	283	641
92	287	638
93	289	635
94	293	632
95	296	630
96	299	627
97	303	624
98	306	621
99	309	618
100	312	615
101	316	613
102	319	610
103	322	608
104	325	605
105	329	602
106	332	599
107	335	596
108	338	592
109	341	589
110	344	587
111	348	584
112	351	581
113	354	578
114	357	575
115	360	572
116	364	569
117	367	566
118	370	563
119	373	560
120	377	558
121	380	555
122	383	552
123	386	548
124	389	545
125	393	542
126	396	539
127	399	537
128	402	533
129	405	530
130	408	527
131	412	524
132	416	522
133	419	519
134	422	516
135	426	514
136	429	511
137	433	508
138	436	505
139	439	501
140	442	499
141	446	496
142	449	493
143	450	487
144	453	484
145	456	481
146	460	478
147	463	476
148	467	473
149	470	470
150	473	467
151	477	464
152	481	462
153	481	456
154	485	453
155	488	451
156	492	448
157	496	445
158	499	442
159	502	439
160	505	436
161	509	433
162	513	431
163	516	428
164	519	425
165	522	422
166	526	419
167	530	416
168	534	414
169	537	410
170	540	407
171	544	404
172	547	401
173	550	398
174	553	395
175	556	392
176	560	389
177	564	386
178	567	383
179	570	380
180	573	376
181	576	374
182	580	370
183	583	367
184	586	364
185	589	361
186	593	358
187	596	355
188	599	352
189	602	348
190	605	345
191	609	342
192	613	339
193	616	336
194	619	333
195	622	330
196	626	327
197	630	324
198	633	321
199	636	318
200	639	315
201	642	311
202	646	308
203	649	305
204	652	302
205	655	299
206	659	296
207	662	293
208	665	289
209	669	286
210	672	283
211	676	280
212	679	277
213	683	274
214	686	271
215	689	268
216	692	264
217	696	261
218	699	258
219	702	255
220	705	252
221	708	249
222	712	245
223	715	242
224	718	239
225	722	236
226	725	233
227	728	230
228	731	226
229	735	223
230	738	220
231	741	217
232	745	214
233	748	211
234	751	207
235	754	204
236	757	201
237	761	198
238	764	195
239	767	191
240	770	188
241	773	185
242	776	182
243	781	179
244	784	176
245	787	172
246	790	169
247	794	166
248	797	163
249	800	160
250	804	157
251	808	153
252	811	150
253	815	147
254	818	144
255	821	141
256	825	138
257	828	134
258	831	131
259	834	128
260	838	125
261	841	122
262	844	118
263	847	115
264	851	112
265	854	109
266	857	105
267	860	102
268	864	99
269	867	96
270	870	93
271	873	89
272	876	86
273	879	83
274	883	80
275	886	77
276	889	73
277	892	70
278	895	67
279	899	64
280	902	61
281	905	57
282	908	54
283	911	51
284	914	48
285	918	44
286	921	41
287	924	38
288	928	35
289	931	32
290	934	28
291	937	25
292	940	22
293	944	19
294	947	16
295	950	12
296	953	9
297	956	6
298	960	3
299	963	0
